Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1.,Nestle India,2191.95,67.37,211338.43,0.78,696.13,-5.28,4779.73,3.90,169.08
2.,P & G Hygiene,13394.25,60.73,43478.72,1.46,268.59,17.34,1247.63,10.08,112.44
3.,Colgate-Palmoliv,2411.70,44.88,65594.78,1.99,322.78,-2.22,1461.84,4.74,96.80
4.,Lloyds Metals,1121.80,38.48,58697.28,0.09,389.53,17.48,1675.17,-12.40,78.27
5.,Life Insurance,740.15,10.88,468144.70,1.35,11008.68,16.69,203751.32,-4.81,72.95
6.,TCS,3511.05,26.05,1270328.62,1.57,12444.00,5.16,63973.00,5.60,64.28
7.,Coal India,378.30,6.79,233136.01,6.74,8491.22,-17.19,35779.78,-1.03,63.59
8.,Gillette India,7774.30,53.45,25336.44,0.84,125.97,21.18,685.55,7.21,58.91
9.,Castrol India,231.08,24.84,22856.64,3.68,271.39,12.17,1353.89,7.11,55.16
10.,I R C T C,689.05,44.69,55124.00,1.02,341.21,9.90,1224.66,9.51,53.77
11.,Hyundai Motor I,1644.45,22.46,133618.32,0.00,1124.09,-19.31,16241.53,-2.10,51.41
12.,Glaxosmi. Pharma,2657.80,52.71,45024.74,1.20,229.88,29.42,949.42,17.90,51.33
13.,Britannia Inds.,4728.25,52.41,113888.55,1.55,582.30,4.28,4592.61,7.90,48.92
14.,Motherson Wiring,50.80,35.52,22459.23,1.57,139.98,-16.61,2300.28,8.78,47.96
15.,CG Power & Ind,599.10,97.77,91594.57,0.22,237.85,21.01,2515.68,27.13,46.63
16.,Hindustan Zinc,430.00,19.32,181688.72,6.74,2647.00,29.88,8556.00,17.05,46.25
17.,Abbott India,29597.00,47.13,62893.63,1.39,360.78,16.01,1614.28,12.33,46.02
18.,Page Industries,40099.25,66.42,44726.20,1.75,204.66,34.34,1313.05,7.14,45.02
19.,Mazagon Dock,2316.00,33.96,93422.81,0.59,807.04,28.76,3143.62,33.06,44.19
20.,Apar Inds.,5481.55,27.27,22018.46,0.93,174.92,-19.60,4716.42,17.66,43.96
21.,Waaree Energies,2125.25,61.78,61054.86,0.00,506.88,370.92,3457.29,116.60,43.63
22.,Marico,606.30,48.97,78540.39,1.57,406.00,4.18,2794.00,15.36,43.08
23.,Tata Elxsi,5236.75,40.29,32616.64,1.34,199.01,-3.59,939.17,2.73,42.74
24.,C D S L,1071.00,40.32,22383.90,0.89,129.80,20.83,278.11,29.67,40.18
25.,Infosys,1579.85,23.73,656069.64,2.41,6822.00,11.46,41764.00,7.58,39.99
26.,Oracle Fin.Serv.,7328.00,27.72,63642.11,3.28,541.30,-26.93,1715.20,-5.94,39.54
27.,Authum Invest,1466.90,6.26,24914.58,0.00,545.18,-9.63,617.66,26.08,39.34
28.,Hind.Aeronautics,3396.15,26.27,227126.02,1.03,1432.60,14.29,6956.93,14.78,38.88
29.,A B B,5118.55,57.86,108466.36,0.46,528.41,54.09,3364.93,22.03,38.56
30.,KPIT Technologi.,1206.45,43.59,33074.08,0.56,186.97,21.17,1477.96,17.58,38.36
31.,HDFC AMC,3725.10,33.69,79629.97,1.88,641.46,30.99,934.36,39.18,37.72
32.,Asian Paints,2231.30,49.08,214025.80,1.49,1128.44,-23.29,8549.44,-6.08,37.50
33.,ITC,412.05,25.95,515616.95,3.34,5013.18,-8.40,18790.17,9.28,37.47
34.,CRISIL,4373.70,46.76,31984.88,1.23,224.69,6.93,912.91,-0.53,36.84
35.,Nippon Life Ind.,524.50,25.00,33274.18,3.15,295.36,3.90,587.89,38.88,36.24
36.,Cummins India,2835.25,40.39,78593.13,1.34,514.00,12.67,3086.01,21.78,35.23
37.,Bharat Electron,280.07,41.02,204724.98,0.79,1311.60,52.51,5770.69,38.65,34.61
38.,Bayer Crop Sci.,4737.95,40.89,21293.34,2.95,34.20,-63.27,1056.90,10.68,33.91
39.,Bajaj Auto,7504.70,27.82,209574.46,1.07,2195.65,8.02,13168.88,8.25,33.53
40.,L&T Technology,4378.20,37.51,46355.35,1.14,300.80,-6.29,2411.80,12.29,33.40
41.,3M India,27880.30,56.59,31421.10,0.57,113.77,-15.88,1089.95,8.38,33.04
42.,Solar Industries,10097.15,81.42,91369.17,0.08,337.50,54.86,1973.08,38.06,32.47
43.,Adani Power,512.00,15.32,197475.27,0.00,2940.07,7.38,13671.18,5.23,32.25
44.,B P C L,264.41,8.19,114714.42,7.94,3805.94,19.27,113165.87,-2.02,32.09
45.,NBCC,77.89,37.15,21030.30,0.68,142.43,8.94,2826.96,16.65,31.99
46.,Emami,562.15,31.17,24537.85,1.42,278.98,5.71,1049.48,5.34,31.72
47.,Ajanta Pharma,2538.25,35.31,31705.81,1.42,232.88,10.88,1146.13,3.71,31.60
48.,Polycab India,5003.10,40.92,75258.83,0.60,464.35,10.83,5226.06,20.40,31.33
49.,LTIMindtree,4467.05,28.96,132352.23,1.46,1086.70,-7.14,9660.90,7.15,31.17
50.,Eicher Motors,5015.25,30.95,137493.26,1.02,1170.50,17.52,4973.12,19.01,31.14
51.,NMDC,63.80,8.65,56091.80,3.79,1880.00,12.62,6567.83,21.40,30.91
52.,Inventurus Knowl,1645.75,76.23,28236.65,0.00,129.68,27.71,657.16,15.88,30.01
53.,Pidilite Inds.,2729.90,69.29,138855.70,0.59,557.08,8.22,3368.91,7.63,29.74
54.,Hexaware Tech.,758.95,39.29,46120.99,0.00,320.70,65.40,3154.40,20.58,29.68
55.,HCL Technologies,1534.75,24.40,416479.75,3.52,4594.00,5.54,29890.00,5.08,29.60
56.,Persistent Sys,5125.75,60.53,79884.81,0.51,372.99,30.36,3062.28,22.58,29.17
57.,Dixon Technolog.,13324.05,125.99,80049.86,0.04,216.23,77.51,10453.68,116.96,29.16
58.,Hero Motocorp,3529.15,17.06,70586.82,3.26,1108.38,1.51,10259.89,4.82,29.09
59.,Indraprastha Gas,184.88,17.24,25883.23,2.43,285.82,-27.10,3759.06,5.70,28.76
60.,Coforge,7292.25,63.68,48765.54,1.04,255.90,-9.45,3318.20,42.82,28.60
61.,Supreme Inds.,3343.75,41.57,42474.61,0.90,186.97,-27.01,2509.88,2.48,28.56
62.,Tata Technolog.,636.80,40.03,25832.97,1.32,168.64,-0.93,1317.38,2.17,28.29
63.,United Spirits,1353.70,67.09,98461.48,0.66,335.00,8.64,3433.00,14.36,27.87
64.,Berger Paints,488.20,49.91,56918.98,0.72,295.97,-1.51,2975.06,3.24,27.51
65.,Hind. Unilever,2174.80,49.36,510989.11,1.93,2989.00,2.93,15818.00,1.61,27.24
66.,KEI Industries,3053.95,45.69,29181.28,0.13,164.81,9.38,2467.27,19.81,27.21
67.,Narayana Hrudaya,1542.15,40.22,31515.50,0.26,193.06,2.62,1366.68,13.55,26.54
68.,Dr Reddy's Labs,1107.95,17.24,92452.24,0.72,1404.20,1.69,8381.20,15.81,26.53
69.,Petronet LNG,281.00,11.73,42150.00,3.56,866.99,-27.18,12226.86,-17.09,26.41
70.,Tube Investments,2926.55,69.09,56626.95,0.12,280.15,8.52,4812.22,14.66,26.28
71.,Sun TV Network,570.40,12.87,22478.59,2.94,363.26,-20.00,827.56,-10.35,26.20
72.,Coromandel Inter,1797.70,32.36,52964.20,0.33,507.91,122.66,6935.19,26.92,25.98
73.,M R P L,119.33,25.21,20913.76,2.51,309.30,-21.11,21870.86,-11.34,25.75
74.,Schaeffler India,3347.55,53.52,52323.44,0.78,249.33,12.92,2082.31,12.25,25.67
75.,Blue Star,2025.65,76.04,41650.36,0.35,132.46,22.72,2807.36,25.26,25.51
76.,Premier Energies,888.15,173.34,40035.53,0.06,255.22,490.51,1713.32,140.47,25.23
77.,APL Apollo Tubes,1372.80,60.06,38098.57,0.40,216.97,31.09,5432.73,30.04,25.18
78.,Dr Lal Pathlabs,2525.05,50.64,21107.33,0.95,98.10,18.94,596.70,10.73,25.17
79.,Suzlon Energy,54.58,63.14,73891.41,0.00,387.76,90.56,2974.83,90.64,24.93
80.,Varun Beverages,488.15,62.34,165080.63,0.20,195.65,40.30,3688.79,38.28,24.85
81.,Mankind Pharma,2201.15,46.97,90814.72,0.00,416.38,-10.01,2396.57,8.48,24.57
82.,J B Chemicals &,1517.80,36.92,23628.43,0.81,162.49,21.65,963.49,14.09,24.55
83.,Interglobe Aviat,4700.85,29.91,181651.83,0.00,2442.00,-18.56,22110.70,13.67,24.53
84.,Havells India,1458.65,65.32,91448.86,0.62,277.96,-3.46,4888.98,10.76,24.40
85.,Bharat Dynamics,1108.25,71.82,40624.29,0.48,147.13,8.96,832.14,38.32,24.23
86.,Sona BLW Precis.,485.80,50.63,30203.06,0.63,150.71,16.75,867.91,11.01,24.02
87.,P I Industries,3297.30,29.44,50026.02,0.45,372.70,-16.92,1900.80,0.17,24.00
88.,Mphasis,2205.15,25.41,41892.78,2.49,427.81,14.51,3561.34,6.69,23.95
89.,Trent,5022.40,120.18,178540.02,0.06,496.54,33.97,4656.56,34.33,23.79
90.,EIH,359.10,31.93,22456.83,0.33,278.83,12.43,800.17,7.95,23.62
91.,Poly Medicure,2214.25,71.21,22436.05,0.14,85.23,31.08,424.21,24.91,23.62
92.,Siemens,4927.90,77.16,175492.62,0.24,614.60,-9.59,3587.20,-3.30,23.61
93.,Astral,1238.30,63.71,33265.04,0.30,112.60,-0.62,1397.00,1.96,23.16
94.,Torrent Pharma.,3056.05,55.55,103425.97,0.92,503.00,31.94,2809.00,2.82,23.16
95.,GE Vernova T&D,1421.55,74.57,36398.79,0.14,142.68,189.12,1073.65,27.97,23.14
96.,Cipla,1461.90,23.71,118065.23,0.89,1574.59,31.37,7072.97,7.10,22.80
97.,AIA Engineering,3145.00,28.66,29663.76,0.51,258.89,-7.41,1066.22,-8.80,22.71
98.,Titan Company,3010.15,82.56,267236.95,0.37,1047.00,-0.57,17740.00,25.25,22.70
99.,ICICI Lombard,1678.75,33.03,83180.25,0.36,724.38,67.89,6161.11,18.62,22.52
