Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1.,Sanofi Consumer,4877.55,55.78,11233.30,0.00,44.30,1.05,170.70,6.75,189.22
2.,Waaree Renewab.,808.25,45.06,8425.73,0.12,53.55,-16.71,360.25,11.15,107.10
3.,Tips Music,620.30,49.03,7929.39,1.13,44.23,27.65,77.67,19.81,103.80
4.,Esab India,4353.05,38.90,6700.66,2.55,40.38,6.40,337.49,11.96,75.86
5.,Jai Balaji Inds.,136.74,16.51,12474.65,0.00,120.42,-48.67,1486.39,-3.42,62.33
6.,Ingersoll-Rand,3406.40,40.77,10753.32,2.05,77.66,40.99,385.32,17.04,51.35
7.,Anand Rathi Wea.,1693.25,49.68,14057.47,0.41,77.30,33.21,237.04,29.93,50.74
8.,Indian Energy Ex,153.56,34.43,13692.83,1.63,103.15,15.47,131.31,13.89,50.01
9.,Cams Services,3410.10,39.03,16856.07,1.36,117.82,37.72,347.55,29.26,49.77
10.,Sanofi India,5587.15,35.51,12867.21,2.99,91.30,22.41,514.90,9.74,49.16
11.,Tata Tele. Mah.,60.85,,11895.74,0.00,-315.11,-2.41,332.77,12.41,47.91
12.,Insolation Ener,250.20,54.20,5512.98,0.00,61.27,,612.03,119.84,47.81
13.,Zen Technologies,1214.55,51.60,10966.22,0.08,42.67,33.07,152.21,52.94,45.97
14.,Ganesh Housing,997.10,15.23,8314.53,1.10,160.84,59.94,257.01,41.66,45.01
15.,P & G Health Ltd,5239.90,35.44,8697.91,1.53,90.90,26.13,309.77,-0.06,44.97
16.,Prudent Corp.,1977.85,43.45,8189.62,0.10,48.19,34.99,285.04,35.78,43.29
17.,International Ge,308.50,30.35,13332.13,0.79,111.68,26.79,190.29,3.40,43.10
18.,Inox India,979.85,44.65,8893.46,0.00,58.39,8.99,333.63,14.77,43.06
19.,TBO Tek,1209.50,61.34,13133.69,0.00,49.98,-8.03,422.19,29.17,42.93
20.,Action Const.Eq.,1151.25,35.23,13709.45,0.17,111.68,26.56,875.11,16.20,42.30
21.,Akzo Nobel,3124.50,33.10,14229.07,2.40,108.60,-4.57,1050.50,1.72,42.29
22.,KRN Heat Exchan,929.00,144.90,5774.35,0.00,12.69,61.04,103.95,58.36,42.09
23.,Angel One,1953.50,13.19,17635.95,1.77,281.47,8.12,1262.21,19.18,38.70
24.,Netweb Technol.,1460.30,81.80,8273.16,0.14,30.32,16.57,333.99,31.80,38.43
25.,Triveni Turbine,514.25,48.18,16346.82,0.51,92.60,35.48,503.40,16.61,38.32
