Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1.,Jagjanani Text.,8.47,,13.21,0.00,-0.09,-125.00,0.00,,2400.00
2.,Manbro Indust.,852.45,,494.51,0.00,0.02,-91.67,0.00,-100.00,700.00
3.,Aananda Lakshmi,14.65,5.83,5.13,0.00,-0.18,-89.30,0.43,-39.44,483.40
4.,Monotype India,0.72,6.34,50.62,0.00,0.89,545.00,20.42,,437.75
5.,Medinova Diagno.,38.00,19.96,37.93,0.00,0.38,-5.00,2.25,-5.86,232.00
6.,Spice IslandsInd,43.78,,18.83,0.00,-0.21,-400.00,0.33,230.00,211.76
7.,Ksolves India,342.25,21.40,811.54,2.85,10.17,15.05,37.51,33.25,199.44
8.,Varyaa Creations,64.00,10.15,30.66,0.00,0.62,,15.33,,192.38
9.,Guj. Toolroom,1.67,2.22,232.53,9.98,1.43,-90.01,230.74,76.06,179.38
10.,SBEC Systems,20.00,12.27,20.00,0.00,0.56,100.00,0.78,11.43,154.49
11.,Amwill,76.48,12.22,152.99,0.00,,,,,153.49
12.,Voler Car,90.00,25.98,100.29,0.00,2.49,,21.50,,149.21
13.,Vintron Info.,27.48,5.64,273.25,0.00,9.69,2591.67,175.48,3050.45,146.65
14.,Swadeshi Polytex,60.51,78.66,235.99,0.00,1.19,-97.36,0.30,-99.45,146.60
15.,Tuticorin Alkali,86.01,21.83,1047.91,0.00,4.89,-74.48,81.86,7.50,146.32
16.,CLN Energy,259.50,28.00,273.86,0.00,4.64,,74.83,,146.26
17.,Athena Global,73.04,0.49,102.62,0.00,-3.84,8.79,4.19,5.81,123.99
18.,Infronics Sys.,35.45,18.37,28.10,0.00,0.08,-74.19,0.39,-39.06,123.82
19.,Ambitious Plasto,10.88,90.29,6.32,0.00,0.03,-72.73,0.67,-38.53,120.00
20.,Maha Rashtra Apx,109.76,0.36,155.31,0.00,-6.80,92.12,0.05,-92.06,119.79
21.,Franklin Indust.,2.15,3.34,62.18,0.00,3.29,-4.64,30.14,80.16,119.60
22.,Sathlokhar,410.30,37.87,990.38,0.00,16.45,,141.87,205.75,116.56
23.,Press. Senstive,3.37,0.71,50.00,0.00,1.01,-97.00,5.49,-84.31,113.96
24.,Triveni Glass,13.36,9.58,16.86,0.00,0.18,12.50,0.00,,112.22
25.,RRPSemiconductor,506.85,68.10,690.53,0.00,6.56,65700.00,14.82,,104.76
26.,Spectrum Foods,25.93,,62.05,0.00,0.23,-84.77,5.67,10.74,104.02
27.,Nisus Finance,346.50,36.16,827.38,0.00,18.87,,32.92,172.29,101.56
28.,Remedium Life,2.27,,91.53,0.00,0.76,-98.34,38.15,-97.92,99.50
29.,Modern Engineer.,27.08,,41.84,0.00,-3.61,-36200.00,22.68,14.20,98.71
30.,Bridge Securitie,10.12,19.38,39.34,0.00,0.73,284.21,0.75,226.09,98.55
31.,Sat Kartar,138.00,35.05,217.28,0.00,,,,,98.30
32.,Identical Brains,50.50,13.24,70.83,0.00,2.41,,11.39,,97.75
33.,Blue Pebble,211.35,18.75,86.23,0.00,3.77,,23.39,77.47,97.57
34.,Technvision Ven.,6692.40,428.42,4202.83,0.00,1.36,-84.79,80.96,35.38,94.69
35.,Vuenow Infratech,112.15,38.84,260.20,0.67,-0.66,-183.54,0.00,-100.00,94.38
36.,Rajkamal Synth.,44.59,163.56,29.44,0.00,-0.07,-250.00,0.05,,94.12
37.,Gayatri Sugars,9.33,,60.76,0.00,1.24,-6.06,109.53,44.61,93.23
38.,Positron,321.00,21.07,243.97,0.00,4.75,,69.79,39.69,91.08
39.,Anirit Ventures,108.20,10.29,64.92,0.00,-0.17,-13.33,0.02,-80.00,88.89
40.,Mishtann Foods,5.33,1.66,574.37,0.02,72.95,-21.60,322.69,-2.37,88.74
41.,Shubhshree,310.00,49.24,162.50,0.00,4.04,,77.36,,86.51
42.,One Global Serv,283.45,17.53,201.25,0.35,3.48,138.36,33.37,129.50,84.85
43.,Network People,1616.95,64.08,3135.25,0.00,5.13,-21.44,21.24,-32.34,83.46
44.,Associated,88.35,11.82,11.94,0.00,0.40,,2.21,,80.47
45.,Apex Ecotech,80.55,16.02,106.21,0.00,1.55,,21.70,,79.09
46.,21st Cent. Mgmt.,65.45,1.73,68.72,3.82,-3.72,-123.21,-2.18,-113.15,78.43
47.,Jhandewala Foods,46.90,7.94,62.19,0.00,2.49,119.90,30.27,193.03,78.22
48.,Crestchem,252.70,27.27,75.81,0.20,0.52,-42.86,4.80,-34.78,78.17
