Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1.,Nestle India,2232.70,67.78,215267.37,0.69,986.36,-7.40,5104.00,1.33,169.08
2.,P & G Hygiene,14684.00,70.49,47665.34,1.33,211.90,0.57,1135.16,-0.28,112.44
3.,International Ge,615.20,81.85,26586.46,0.00,,,,,98.79
4.,Colgate-Palmoliv,2821.25,52.24,76733.95,1.70,395.05,16.17,1619.11,10.06,96.80
5.,Lloyds Metals,1441.25,51.34,75350.23,0.07,301.44,30.35,1364.43,25.03,78.27
6.,Life Insurance,908.40,13.86,574562.79,1.10,7722.74,-3.83,231132.12,13.84,72.95
7.,TCS,4099.90,30.80,1483379.70,1.34,11955.00,5.00,64259.00,7.65,64.28
8.,Coal India,393.65,6.74,242595.80,6.48,6274.80,-22.04,30672.88,-6.42,63.59
9.,Gillette India,9898.55,71.37,32259.37,0.45,133.01,43.50,781.82,17.12,58.91
10.,I R C T C,796.30,52.96,63704.00,0.82,307.82,4.46,1064.00,7.21,53.77
11.,Hyundai Motor I,1828.65,24.97,148585.33,0.00,1337.79,-16.51,16876.17,-8.33,51.41
12.,Glaxosmi. Pharma,2241.05,47.35,37964.74,1.43,252.50,14.55,1010.77,5.62,51.33
13.,Cams Services,5096.05,62.95,25157.04,0.91,115.22,41.58,341.90,34.09,49.77
14.,Britannia Inds.,4834.10,54.18,116438.14,1.52,531.55,-9.37,4667.57,5.29,48.92
15.,Motherson Wiring,59.47,39.82,26292.33,1.35,152.08,-2.44,2325.64,10.26,47.96
16.,CG Power & Ind,736.75,125.76,112617.01,0.18,219.63,-1.77,2412.69,20.54,46.63
17.,Hindustan Zinc,469.15,22.53,198230.84,6.18,2298.00,35.80,8242.00,21.35,46.25
18.,Abbott India,29490.20,48.78,62666.68,1.39,358.61,14.59,1632.67,9.27,46.02
19.,Zen Technologies,2533.45,112.88,22874.61,0.04,63.44,359.46,241.84,263.67,45.97
20.,Page Industries,47941.20,86.10,53473.01,1.15,195.26,29.93,1246.27,10.77,45.02
21.,Mazagon Dock,2236.90,35.10,90232.07,0.61,585.08,75.76,2756.83,50.84,44.19
22.,Apar Inds.,10950.70,51.77,43987.12,0.47,193.38,11.21,4644.51,18.32,43.96
23.,Waaree Energies,2820.85,82.00,81038.28,0.00,375.66,14.78,3574.38,1.05,43.63
24.,Marico,660.95,53.91,85609.49,1.44,433.00,19.83,2664.00,7.59,43.08
25.,Tata Elxsi,6647.55,50.69,41403.16,1.05,229.43,14.70,955.09,8.32,42.74
26.,CRISIL,6108.15,66.72,44668.77,0.88,171.55,12.87,811.84,10.32,41.36
27.,C D S L,1805.35,70.82,37731.82,0.53,161.96,48.79,322.26,55.45,40.18
28.,Infosys,1938.75,29.87,805021.19,1.96,6516.00,4.73,40986.00,5.11,39.99
29.,Oracle Fin.Serv.,12518.05,43.55,108680.67,1.92,577.70,38.39,1673.90,15.88,39.54
30.,Authum Invest,1948.20,8.19,33089.22,0.00,843.72,7.11,1091.10,12.09,39.34
31.,Hind.Aeronautics,4206.00,33.22,281286.77,0.83,1490.36,20.30,5976.55,6.05,38.88
32.,Angel One,2856.20,19.58,25777.42,1.21,423.37,39.06,1514.71,44.55,38.70
33.,KPIT Technologi.,1449.95,54.75,39749.48,0.46,203.75,45.30,1471.41,22.70,38.36
34.,Triveni Turbine,778.05,78.50,24732.41,0.33,91.00,42.03,501.10,29.22,38.32
35.,HDFC AMC,4224.65,40.83,90304.74,1.66,576.88,31.84,887.21,37.96,37.72
36.,Asian Paints,2335.95,47.69,224063.81,1.43,693.66,-31.65,8027.54,-5.32,37.50
37.,ITC,481.60,29.32,602563.97,2.86,5054.43,1.95,20735.87,16.66,37.47
38.,Nippon Life Ind.,758.25,36.41,48053.16,2.18,360.10,47.33,571.30,43.73,36.24
39.,Cummins India,3216.90,47.23,89172.47,1.18,450.61,37.17,2492.31,31.20,35.23
40.,Aditya AMC,822.20,26.48,23717.52,1.64,242.34,36.08,424.21,26.63,34.89
41.,Bharat Electron,291.95,47.01,213408.99,0.75,1092.78,38.40,4604.90,14.86,34.61
42.,Bayer Crop Sci.,5627.30,43.63,25290.26,2.49,136.30,-38.85,1737.60,7.44,33.91
43.,Bajaj Auto,8965.70,33.97,250373.99,0.89,1385.44,-31.42,13247.28,22.23,33.53
44.,L&T Technology,4795.50,40.43,50771.47,1.04,293.00,-4.99,2324.80,8.83,33.40
45.,3M India,30623.95,60.97,34513.19,0.52,133.78,-8.44,1110.80,6.86,33.04
46.,Solar Industries,9744.20,87.24,88175.32,0.09,303.78,42.84,1715.83,27.34,32.47
47.,Adani Power,520.45,15.82,200734.39,0.00,3297.52,-49.99,13338.88,2.68,32.25
48.,B P C L,296.40,9.61,128593.30,7.09,2297.23,-71.62,102785.27,-0.25,32.09
49.,NBCC,92.52,45.04,24980.40,0.45,125.14,-0.35,2458.73,19.44,31.99
50.,Emami,614.45,34.73,26820.74,1.30,210.99,18.20,890.59,2.97,31.72
51.,Jupiter Wagons,509.45,59.17,21626.05,0.20,88.62,8.63,973.63,10.73,31.67
52.,Ajanta Pharma,2873.75,41.02,35896.61,1.25,216.48,10.84,1186.64,15.38,31.60
53.,Polycab India,7208.00,60.42,108422.49,0.42,445.21,3.35,5498.42,30.37,31.33
54.,LTIMindtree,5733.40,36.50,169872.35,1.13,1251.60,7.68,9432.90,5.92,31.17
55.,Eicher Motors,5310.75,34.11,145584.90,0.96,1100.33,8.27,4263.07,3.61,31.14
56.,BLS Internat.,505.50,49.83,20813.50,0.20,145.73,75.53,495.01,21.40,31.02
57.,NMDC,67.66,9.48,59485.44,3.57,1205.30,17.47,4918.91,22.54,30.91
58.,Vedant Fashions,1257.45,75.82,30546.27,0.68,66.90,37.32,267.95,22.74,30.74
59.,A B B,6800.15,85.37,144100.87,0.35,440.45,21.68,2912.16,5.16,30.69
60.,KFin Technolog.,1472.20,84.69,25297.25,0.39,89.32,45.52,280.47,34.22,30.26
61.,Natco Pharma,1366.75,12.59,24479.84,0.70,676.50,83.33,1371.10,32.94,30.10
62.,Inventurus Knowl,1939.10,89.82,33269.75,0.00,208.58,,1282.88,103.35,30.01
63.,Pidilite Inds.,2932.35,76.02,149152.83,0.55,540.30,18.75,3234.91,5.16,29.74
64.,HCL Technologies,1946.65,31.39,528255.62,2.67,4237.00,10.52,28862.00,8.21,29.60
65.,Persistent Sys,6405.95,80.98,99836.73,0.41,325.00,23.45,2897.15,20.13,29.17
66.,Dixon Technolog.,18397.65,197.13,110516.94,0.03,411.70,119.30,11534.08,133.33,29.16
67.,SKF India,4520.55,39.88,22348.68,2.88,94.34,4.57,1244.23,10.58,29.15
68.,Hero Motocorp,4243.10,20.59,84861.80,2.71,1066.47,5.70,10482.93,9.96,29.09
69.,Varun Beverages,652.20,86.78,220542.08,0.15,628.82,23.66,4804.68,24.14,28.82
70.,Indraprastha Gas,441.35,19.22,30894.54,2.04,431.09,-19.39,3697.29,6.90,28.76
71.,Coforge,9669.65,82.01,64650.69,0.79,233.60,11.71,3062.30,34.54,28.60
72.,Supreme Inds.,4615.15,53.74,58624.81,0.65,206.60,-15.05,2272.95,-1.55,28.56
73.,Tata Technolog.,896.60,56.23,36372.24,0.94,157.41,-1.85,1296.45,2.15,28.29
74.,United Spirits,1682.45,85.12,122373.14,0.53,341.00,8.10,2844.00,-0.87,27.87
75.,Concord Biotech,2083.90,66.32,21800.97,0.42,98.70,16.82,310.18,18.23,27.87
76.,Ratnamani Metals,3200.35,42.37,22431.89,0.44,99.35,-39.38,971.33,-14.13,27.72
77.,Berger Paints,457.85,46.62,53377.58,0.76,269.90,-7.54,2774.61,0.26,27.51
78.,Hind. Unilever,2406.25,55.01,565370.40,1.75,2595.00,-2.14,15926.00,1.94,27.24
79.,KEI Industries,4363.85,66.77,41697.72,0.08,154.81,10.41,2279.65,17.21,27.21
80.,Schaeffler India,3465.00,57.06,54159.22,0.75,247.13,5.16,2072.83,12.15,26.72
81.,Newgen Software,1690.15,86.29,23711.42,0.24,65.87,50.94,331.27,25.50,26.58
82.,Narayana Hrudaya,1310.40,34.39,26779.44,0.31,198.80,-12.34,1400.01,7.26,26.54
83.,Dr Reddy's Labs,1352.65,21.14,112868.36,0.59,1341.90,-15.28,8038.20,16.45,26.53
84.,Petronet LNG,329.45,12.61,49417.50,3.04,847.62,3.61,13021.82,3.91,26.41
85.,Tube Investments,3609.65,87.02,69838.32,0.10,299.17,-21.66,4924.55,14.37,26.28
86.,Sun TV Network,687.40,14.74,27089.38,2.44,409.32,-11.93,934.54,-10.86,26.20
87.,Coromandel Inter,1958.30,42.52,57695.83,0.31,659.10,-12.65,7432.83,6.36,25.98
88.,M R P L,149.53,28.73,26206.61,2.01,-696.94,-166.27,24967.87,29.01,25.75
89.,Siemens,6609.70,86.65,235384.97,0.15,831.20,45.41,6461.10,11.25,25.59
90.,Blue Star,2337.55,91.56,48063.48,0.30,96.06,35.93,2275.96,20.40,25.51
