Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1.,Waaree Renewab.,1391.60,72.88,14506.95,0.07,53.58,159.84,524.42,249.64,107.10
2.,Tips Music,735.15,61.77,9397.54,0.82,48.16,21.46,80.61,32.43,103.80
3.,Esab India,5843.05,52.97,8994.22,1.90,43.16,12.37,338.65,11.88,75.86
4.,Unimech Aero.,1445.15,126.61,7349.58,0.00,38.68,,120.66,,75.43
5.,Shilchar Tech.,8429.30,59.63,6428.86,0.15,32.73,34.14,130.56,22.86,74.65
6.,Sanofi India,6135.85,33.52,14130.86,2.72,82.20,1.99,524.00,6.79,71.10
7.,Jai Balaji Inds.,902.95,18.95,16475.04,0.00,153.16,-24.01,1556.57,0.64,62.33
8.,Jeena Sikho,2360.60,69.65,5868.49,0.18,46.88,,214.13,36.08,57.94
9.,Castrol India,202.16,22.27,19996.10,3.71,207.43,6.69,1288.18,8.90,56.72
10.,Ingersoll-Rand,4131.25,54.08,13041.53,1.69,60.35,21.40,322.10,16.57,51.35
11.,Anand Rathi Wea.,3959.50,62.87,16582.51,0.35,76.31,32.39,242.48,32.81,50.74
12.,Indian Energy Ex,177.02,41.11,15784.74,1.41,106.08,28.01,139.24,28.30,50.01
13.,Tata Tele. Mah.,79.42,,15526.05,0.00,-330.39,-6.50,343.50,19.76,47.91
14.,Insolation Ener,3573.80,73.20,7444.94,0.00,61.27,,612.03,119.84,47.81
15.,Enviro Infra,325.45,53.66,5712.62,0.00,36.37,193.32,213.01,77.82,47.37
16.,Ganesh Housing,1278.05,21.94,10657.29,0.86,158.48,84.26,237.22,45.22,45.01
17.,P & G Health Ltd,5203.95,38.12,8638.24,1.15,82.33,25.56,313.41,2.78,44.97
18.,Easy Trip Plann.,15.51,31.22,5496.87,0.32,27.80,-45.98,103.30,-14.06,43.36
19.,Prudent Corp.,2767.35,65.11,11458.68,0.07,51.52,69.36,286.08,50.54,43.29
20.,Inox India,1103.30,51.41,10013.94,0.00,49.49,7.01,306.56,18.98,43.06
21.,TBO Tek,1790.45,89.10,19442.10,0.00,60.09,8.00,450.69,27.92,42.93
22.,Action Const.Eq.,1518.10,49.44,18078.02,0.13,94.82,28.25,756.69,12.40,42.30
23.,Akzo Nobel,3500.05,36.63,15939.34,2.14,97.90,3.93,982.30,2.72,42.29
24.,Sharda Motor,1882.30,17.71,5596.38,0.53,78.93,-0.10,711.29,-6.73,39.32
25.,Netweb Technol.,2839.40,165.29,16004.79,0.07,25.72,69.88,251.06,73.17,38.43
26.,Share India Sec.,299.80,14.28,6542.22,0.60,124.27,10.19,452.76,23.58,38.31
27.,Tanla Platforms,721.90,17.94,9718.03,1.66,130.21,-8.66,1000.72,-0.78,38.28
28.,Schneider Elect.,786.50,95.50,18805.22,0.00,54.27,17.26,599.71,20.96,37.02
29.,Mahanagar Gas,1312.85,11.28,12968.04,2.29,282.80,-16.45,1711.62,8.96,36.60
30.,Cello World,769.90,50.33,17005.94,0.19,86.78,2.06,490.06,0.22,36.28
31.,HBL Engineering,624.50,50.02,17310.82,0.08,87.07,26.92,520.96,-6.40,35.94
32.,Bondada Engineer,610.55,100.74,6594.57,0.00,36.02,,480.60,62.52,35.53
33.,Sonata Software,628.65,44.55,17628.91,1.26,106.49,-14.24,2169.83,13.45,35.51
34.,C P C L,633.45,13.76,9432.79,8.68,-629.49,-152.87,12086.54,-26.95,35.44
35.,Transrail Light,637.60,37.20,8560.16,0.00,51.74,,915.78,,35.02
36.,IIFL Capital,332.65,14.37,10304.82,0.90,205.34,90.52,645.37,27.30,34.56
37.,Ventive Hospital,739.95,104.68,17280.91,0.00,,,,,34.46
38.,NIIT Learning,454.25,26.53,6177.07,1.16,57.04,19.17,397.45,4.06,33.64
39.,Neuland Labs.,13774.20,66.91,17672.15,0.10,32.84,-63.20,310.84,-25.59,33.26
40.,VST Industries,340.50,23.80,5783.77,4.00,47.56,-37.38,360.03,3.00,32.24
41.,eClerx Services,3507.65,33.01,17196.38,0.03,139.50,2.60,831.84,15.25,31.76
42.,Volt.Transform.,10219.55,30.12,10339.24,0.88,75.74,10.67,397.74,4.29,31.56
43.,Styrenix Perfor.,2954.65,24.11,5197.23,3.32,70.10,24.25,653.22,9.78,31.40
44.,I T D C,715.70,87.24,6138.52,0.35,23.81,24.22,153.66,17.27,31.40
45.,Shakti Pumps,1217.70,44.50,14638.04,0.05,101.42,1636.64,634.59,315.36,31.40
46.,Elecon Engg.Co,633.85,40.05,14223.59,0.24,87.72,-0.96,508.14,4.79,31.32
47.,Astrazeneca Phar,7121.45,138.30,17803.63,0.34,38.43,-5.60,408.00,31.16,31.13
48.,Safari Inds.,2651.80,80.93,12963.59,0.10,29.66,-25.40,457.79,23.72,31.02
49.,Raymond,1786.20,27.67,11891.40,0.56,59.01,1.12,1044.74,122.25,30.93
50.,Black Box,664.90,51.17,11175.31,0.00,51.14,56.79,1497.23,-4.90,30.87
51.,P N Gadgil Jewe.,690.90,60.81,9376.09,0.00,32.39,50.44,2001.53,47.32,30.82
52.,Doms Industries,2772.45,90.61,16825.23,0.09,53.68,42.54,457.77,19.71,30.67
53.,Blue Jet Health,598.95,59.43,10389.71,0.17,58.35,21.89,208.26,14.84,29.97
54.,Balu Forge,778.50,62.63,8520.05,0.02,48.14,106.88,222.88,60.09,29.95
55.,Ceigall India,344.50,20.31,6001.36,0.15,65.54,-11.32,772.19,4.24,29.84
56.,Birlasoft Ltd,552.15,24.68,15272.51,1.18,127.51,-12.11,1368.22,4.45,29.76
57.,Bikaji Foods,748.35,62.91,18737.35,0.13,72.08,17.57,713.25,19.31,29.65
58.,Piccadily Agro,941.80,86.92,8884.87,0.00,24.64,121.78,184.92,62.05,29.59
