Serial_Number,Company_Name,Current_Market_Price_Rs,Price_to_Earnings_Ratio,Market_Capitalization_Rs_Cr,Dividend_Yield_Percentage,Net_Profit_Quarter_Rs_Cr,Quarterly_Profit_Variation_Percentage,Sales_Quarter_Rs_Cr,Quarterly_Sales_Variation_Percentage,Return_on_Capital_Employed_Percentage
1.,Jagjanani Text.,14.20,,22.15,0.00,0.00,100.00,0.00,,2400.00
2.,Manbro Indust.,1072.00,,53.71,0.00,-0.10,-211.11,0.73,-85.66,700.00
3.,Aananda Lakshmi,21.07,2.39,7.37,0.00,-0.23,-38.46,0.06,,483.40
4.,Monotype India,1.74,17.73,122.34,0.00,2.99,98.01,25.33,1083.64,437.75
5.,Medinova Diagno.,39.00,20.28,38.93,0.00,0.50,-24.24,2.56,-10.80,232.00
6.,Spice IslandsInd,41.93,,18.03,0.00,-0.93,-1262.50,0.10,-23.08,211.76
7.,Ksolves India,995.35,32.24,1180.09,1.96,9.22,11.62,34.77,34.25,199.44
8.,Varyaa Creations,93.00,14.75,44.55,0.00,0.62,,15.33,,192.38
9.,Guj. Toolroom,18.98,3.75,440.46,5.27,26.79,1016.25,270.51,72.65,179.10
10.,Associated,191.90,25.68,25.94,0.00,0.40,,2.21,,170.00
11.,SBEC Systems,39.46,29.23,39.46,0.00,0.26,8.33,0.77,18.46,154.49
12.,Vintron Info.,40.56,9.02,352.69,0.00,22.41,32114.29,359.10,35810.00,146.65
13.,Swadeshi Polytex,102.89,8.44,401.27,0.00,0.79,-97.73,0.00,-100.00,146.60
14.,Tuticorin Alkali,97.63,19.10,1189.48,0.00,13.87,-27.27,74.42,-16.92,146.32
15.,Athena Global,99.95,0.68,140.43,0.00,-4.69,8.40,4.37,72.73,123.99
16.,Infronics Sys.,49.29,22.20,39.07,0.00,0.19,-65.45,0.46,-52.58,123.82
17.,Ambitious Plasto,12.70,49.20,7.38,0.00,0.00,100.00,0.31,,120.00
18.,Maha Rashtra Apx,153.23,0.63,216.82,0.00,-7.97,-667.76,0.48,-34.25,119.79
19.,Franklin Indust.,2.97,4.58,85.89,0.00,3.99,432.00,27.11,217.82,119.60
20.,Sathlokhar,492.95,45.50,1189.88,0.00,16.45,,141.87,205.75,116.56
21.,Press. Senstive,5.07,1.06,75.22,0.00,1.01,-97.00,5.49,-84.31,113.96
22.,Triveni Glass,20.94,15.19,26.43,0.00,-0.05,-103.42,0.00,,112.22
23.,RRPSemiconductor,192.95,73.64,262.88,0.00,1.82,9200.00,5.66,,104.76
24.,Spectrum Foods,31.58,164.30,75.58,0.00,1.91,-42.12,6.01,19.01,104.02
25.,Nisus Finance,488.30,50.96,1165.97,0.00,18.87,,32.92,172.29,101.56
26.,Remedium Life,5.06,11.04,204.02,0.00,1.78,-72.74,25.08,-94.65,99.50
27.,Modern Engineer.,42.28,20.61,65.32,0.00,0.42,-41.67,16.25,-2.17,98.71
28.,Bridge Securitie,11.63,30.34,45.21,0.00,1.00,9900.00,1.05,600.00,98.55
29.,Identical Brains,81.15,21.27,113.82,0.00,2.41,,11.39,,97.75
30.,Blue Pebble,332.00,29.45,135.46,0.00,3.77,,23.39,77.47,97.57
31.,Technvision Ven.,3381.25,122.11,2123.43,0.00,-2.58,-200.78,55.09,10.09,94.69
32.,Vuenow Infratech,82.64,23.53,191.74,0.91,-0.57,-385.00,0.00,-100.00,94.38
